"Dyad ID","Thought Unit","Speaker","ANNOTATION"
2,0,Grocery,Im Jennifer.,MIC
2,1,Wine,Im Jing Tian.,MIC
2,2,Grocery,"So you own a wine shop,that?s, that?s you?",MIC
2,3,Wine,Yeah.,MIC
2,4,Wine,You own a grocery store?,MIC
2,5,Grocery,Yeah. I like it a lot.,MIC
2,6,Grocery,"How?s your,How?s your wineshop doing?",MIC
2,7,Wine,Doing Good.,MIC
2,8,Wine,How?s your grocery store?,MIC
2,9,Grocery,Its Good.,MIC
2,10,Grocery,Are you excited about this possibility?,MIC
2,11,Wine,Yeah I mean.,MIC
2,12,Wine,"I?m looking forward to working,actually, collaberating with you",MIC
2,13,Wine,I think it?s a good oppurtunity for both of us.,MIC
2,14,Grocery,Yeah. I think its good too.,MIC
2,15,Wine,So let?s talk about something that?s really important and so about our operations. What?s your idea about that?,QP
2,16,Grocery,"Well it?s a bakery among other things. You know,we sell a lot of breakast items",SBR
2,17,Grocery,"so?early is really good for us. So,Ideally I?d like to do 6:30 am to 6:30 pm.",IP
2,18,Wine,"For me actually,you know for the alcohol shop, that is a place to go out for dating and things that",SBR
2,19,Wine,the later is better for me actually. ,IP
2,20,Grocery,Yeah.,MIN
2,21,Grocery,That?s what I figured.,IN -N
2,22,Wine,Yeah. So I think the the later time is better for me.,IP
2,23,Wine,I?m not sure whether we can negotiate about this and reach a time and schedule that?that would be good for both of us.,PC
2,24,Grocery,"Yeah,I know that, I?ve got a little bit of give there but not a whole lot.",PC
2,25,Grocery,So?,MIN
2,26,Wine,Let you do something else.,PM
2,27,Wine,Like other things...,MIN
2,28,Grocery,Yeah.,MIN
2,29,Grocery,We sell all kinds of groceries.,SBR
2,30,Grocery,"So,so once you get past, you know, 8:30 its really not gonna , were not going to be doing much business at all.",SBR
2,31,Wine,"So I think that the grocery store,grocery, people buying things all the time, everyday.",SBR
2,32,Wine,"It?s not,its? not only at 8:30 in the morning",SBR
2,33,Grocery,Yeah.,MIN
2,34,Grocery,So?,MIN
2,35,Wine,"And for those housewives that have nothing to do in the daytime and somebody will go back,go to go to the grocery store during their daytime after they get up, they figure out, they bring their kids, and they do all the housework and then they go out.",SBR
2,36,Wine,"And also in,in at night, when people go out and drink wine, out buying  alcohol they can also stop by your grocery store and buy something.",SBR
2,37,Wine,"I believe,I don?t think like, everything after 8:30 means all business stop.",SBR
2,38,Wine,"I,I, I, I don?t think so.",MIN
2,39,Wine,Yeah.,MIN
2,40,Grocery,Well it?s?we got a peak in the morning.,SBR
2,41,Wine,I know.,MIC
2,42,Wine,I understand.,MIC
2,43,Wine,Yeah.,MIN
2,44,Grocery,I mean we definitely want to be open?into the evening.,SBR
2,45,Grocery,So?,MIN
2,46,Wine,Yeah.,MIN
2,47,Wine,"I think actually that breakfast is your big business time. And,a, like evening is my big business time.",ID-N
2,48,Wine,Grocery,Yeah Exactly.,MIN
2,49,Wine,Your not going to do any business at 6:30 in the morning.,IN-N
2,50,Wine,Right.,MIN
2,51,Wine,"But,things are not like any time after, anything other then that time you where have no business, it?s not like that.",MIN
2,52,Wine,"So,well I think we can negotiate something inbetween that both of us can?although not reach our peak time but still get some work above the level of business.   ",PC
2,53,Grocery,Yeah.,MIN
2,54,Grocery,"Yeah,Maybe we should set that one aside for, for, a little while and?",PM
2,55,Grocery,Do you want to set that one aside for a while?,QM
2,56,Grocery,And see?,QM
2,57,Wine,Yeah and we can?,MIN
2,58,Grocery,Yeah.,MIN
2,59,Grocery,Cause some things you?ll get more closer to what you want and somethings I?ll get closer to what I want.,PO
2,60,Grocery,We?ll see.,MIN
2,61,Wine,"Ok,Ok, Ok.",MIN
2,62,Grocery,What are you thinking about floor space?,QP
2,63,Wine,Floor space?,QM
2,64,Wine,"Actually,I think, uh, 40% is ideal for me.",IP
2,65,Grocery,40% percent?,QM
2,66,Wine,Yeah.,MIN
2,67,Wine,It will give me enough space to put my stock while you have to do the rest of the store for groceries.,SBR
2,68,Wine,What about you?,QP
2,69,Grocery,"Um,Actually?so 40% for you?",QM
2,70,Wine,40% is ideal?but..is ideal.,IP
2,71,Grocery,"Well you know what,60% is ideal for me.",IP
2,72,Wine,Oh really?,QM
2,73,Grocery,So that?s perfect.,MIC
2,74,Wine,That?s good.,MIC
2,75,Wine,So then we?re set on this.,MIN
2,76,Grocery,Yeah.,MIN
2,77,Grocery,Well good cause that seems like a nice balance.,MIC
2,78,Grocery,"You know,Your wine will, wine will, draw people in, its flashy and?Good.",MIC
2,79,Wine,What?s next on the list.,P1
2,80,Grocery,How about temperature?,P1
2,81,Wine,Temperature?,QM
2,82,Wine,"Since im storing alcohol,so the lower temperature is better, / it?s for a storage thing.",IP/ SBR
2,83,Wine,I?m not sure about you?,QP
2,84,Grocery,"For me,it?s um, most of my things are pretty shelf tabled,/ so they?the less air coniditioning I have to pay for the better.",SBR/ IP
2,85,Grocery,So?its good?to?the warmer the better?,IP
2,86,Wine,"But,It?s not, so there is no harm to your groceries with the low temperature.",SBR
2,87,Wine,Right?,QS
2,88,Grocery,"No,No there is no harm.",MIN
2,89,Wine,So that?s only the financial thing.,MIN
2,90,Grocery,Yes it?s just a finacial thing.,MIN
