ID	mean_age	negative_experience	education	east.asian.time.in.us	cultural_intelligence	emotional.intelligence	IQ	extroversion	openness	profit.diff	profit.joint
2	34.5	no	Graduate	32	5.375	4.46969696969697	0.827053212541758	4.35	4.75	320	1480
3	28	no	Graduate	40	5.225	4	0.870269700305534	3.8	3.6	0	1320
4	27	yes	Graduate	58	5.2	3.89393939393939	0.613758974949595	3.85	3.9	40	1480
5	40.5	yes	Graduate	8	4.7	3.68181818181818	0.199518067697782	3.45	4.45	120	1320
9	29	no	Graduate	17	5.525	3.66666666666667	0.632280326848358	4.05	3.75	220	1320
10	29	no	Graduate	6	4.875	3.53219696969697	-0.653658882670862	3.64444444444444	3.6	200	1400
11	26	no	Graduate	46	4.95	3.83333333333333	0.650801678747121	3	3.55	220	1400
12	34	no	Graduate	9	4.8	3.5	-1.47596691320824	2.45	3.15	140	1400
13	26	yes	Graduate	20	5.325	3.72395833333333	-0.726350189652548	3.6	4.25	220	1400
14	26.5	yes	Graduate	23	5.675	3.68181818181818	-0.647485098704611	3.6	3.6	0	1480
16	27.5	no	Graduate	48	3.975	3.63636363636364	0.772883257458838	3.25	3.95	120	1400
18	27	no	Graduate	23	5.35	4.3030303030303	-0.757219109483816	3.9	4.15	0	1240
19	24	yes	Graduate	10	5.275	3.63636363636364	0.99852506298351	3.6	4.35	100	1320
20	29.5	yes	Graduate	60	5.075	4.3030303030303	-0.111162612741079	3.55	4	0	1240
21	34.5	yes	Undergraduate	NA	4.82368421052631	3.92424242424242	0.21186563563029	3.75	4.15	20	1400
22	29	no	Graduate	32	4.575	3.87878787878788	-0.305935498434477	3.7	3.45	40	1480
24	28	no	Graduate	11	5.07894736842105	3.48484848484848	0.431333657188705	2.25	3.8	240	1320
25	30	yes	Graduate	12	4.85	3.39393939393939	-0.848431768364261	2.4	3.75	100	1320
26	23.5	no	Undergraduate	3.5	5.425	3.46638257575758	-0.848431768364261	3.3	3.4	0	1160
27	26.5	no	Graduate	11	5.59166666666667	3.74242424242424	-0.074119908943553	2.55	3.4	140	1480
28	28.5	no	Graduate	48	5.625	3.81818181818182	-1.16528623276938	2.9	3.61666666666667	100	1260
29	28	no	Graduate	11	5.275	3.83333333333333	0.431333657188705	2.65	4.1	120	1240
32	25.5	no	Graduate	40	4.75	3.31818181818182	-0.506882168094132	2.4	2.95	120	1160
33	26.5	no	Graduate	50	5.05	3.68230694037146	0.663149246679628	3.4	3.5	20	1240
34	26.5	no	Graduate	61	5.525	4.24242424242424	-0.0926412608423158	3.95	4.65	200	1480
35	23	yes	Graduate	12	4.875	3.88920454545455	0.327773430375752	2.8	4.15	0	1160
36	23.5	no	Graduate	1	5.025	4.1969696969697	-0.738697757585054	2.75	3.6	0	1260
37	27.5	no	Graduate	60	5.55	4.1969696969697	0.541067667967913	4.25	4.2	20	1400
38	24	no	Graduate	49	4.825	3.95454545454546	0.443681225121215	3.25	3.65	320	1340
