1-0001 30 
1-0002 yeah 
1-0003 people 
1-0004 wine 
1-0005 temperature 
1-0006 open 
1-0007 don 
1-0008 renovation 
1-0009 8 
1-0010 store 
1-0011 space 
1-0012 time 
1-0013 1st 
1-0014 degrees 
1-0015 000 
1-0016 yea 
1-0017 opening 
1-0018 ll 
1-0019 good 
1-0020 hours 
1-0021 7 
1-0022 work 
1-0023 important 
1-0024 floor 
1-0025 money 
1-0026 spend 
1-0027 10 
1-0028 69 
1-0029 9 
1-0030 cost 
1-0031 date 
1-0032 early 
1-0033 give 
1-0034 august 
1-0035 make 
1-0036 september 
1-0037 lot 
1-0038 60 
1-0039 grocery 
1-0040 business 
1-0041 25 
1-0042 40 
1-0043 operation 
1-0044 buy 
1-0045 thousand 
1-0046 costs 
1-0047 6 
1-0048 bit 
1-0049 grand 
1-0050 late 
1-0051 67 
1-0052 things 
1-0053 65 
1-0054 guess 
1-0055 start 
1-0056 july 
1-0057 breakfast 
1-0058 alright 
1-0059 thinking 
1-0060 prefer 
1-0061 thing 
1-0062 stuff 
1-0063 ! 
1-0064 sell 
1-0065 percent 
1-0066 agree 
1-0067 nice 
1-0068 shop 
1-0069 morning 
1-0070 20 
1-0071 earlier 
1-0072 back 
1-0073 issue 
1-0074 kind 
1-0075 customers 
1-0076 71 
1-0077 night 
1-0078 food 
1-0079 place 
1-0080 put 
1-0081 understand 
1-0082 feel 
1-0083 cold 
1-0084 coffee 
1-0085 fine 
1-0086 pay 
1-0087 liquor 
1-0088 um 
1-0089 talk 
1-0090 great 
1-0091 pretty 
1-0092 degree 
1-0093 lower 
1-0094 73 
1-0095 middle 
1-0096 umm 
1-0097 high 
1-0098 products 
1-0099 higher 
1-0100 employees 
1-0101 items 
1-0102 renovations 
1-0103 train 
1-0104 selling 
1-0105 close 
1-0106 lets 
1-0107 long 
1-0108 uh 
1-0109 issues 
1-0110 70 
1-0111 circle 
1-0112 big 
1-0113 dupont 
1-0114 5 
1-0115 hour 
1-0116 half 
1-0117 low 
1-0118 coming 
1-0119 dinner 
1-0120 dollars 
1-0121 won 
1-0122 doesn 
1-0123 stay 
1-0124 ve 
1-0125 wines 
1-0126 deal 
