percentage-of-(IP)-overall,percentage-of-(SF)-overall,percentage-of-(OM)-grocery,percentage-of-(SF)-grocery,number-of-(PO)-overall,number-of-(IR)-overall,number-of-(IS)-grocery,percentage-of-(IP-RN)-overall,percentage-of-(SBR-MINEG)-overall,percentage-of-(QM-IR)-overall,percentage-of-(SBR-SF)-overall,percentage-of-(OM-QM)-wine,percentage-of-(MIN-IR)-wine,percentage-of-(IP-SF)-grocery,percentage-of-(IP-IDN)-turns,percentage-of-(MIN-QR)-turns,percentage-of-(IDN-SBR)-turns,number-of-(IP-RN)-overall,number-of-(OM-RP)-overall,number-of-(IP-IDN)-turns,1-0020,1-0090,1-0091,1-0177,1-0432,1-0483,1-0605,1-0687,1-0891,1-1062,1-1702,1-1800,1-1886,2-0004,2-0112,2-0250,2-0254,2-0994,3-0030,3-0046,ID,mean_age,negative_experience,education,east.asian.time.in.us,cultural_intelligence,emotional.intelligence,IQ,extroversion,openness,profit.diff,profit.joint
0.0666666666667,0,0.0347826086957,0,7,2,0,0.00418410041841,0,0,0,0,0,0,0,0,0,1,2,0,6,2,8,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,2,34.5,no,Graduate,32,5.375,4.46969696969697,0.827053212541758,4.35,4.75,320,1480
0.158163265306,0,0.0337078651685,0,0,0,0,0.00512820512821,0,0,0,0.00943396226415,0,0,0,0,0,1,2,0,8,0,0,0,2,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,3,28,no,Graduate,40,5.225,4,0.870269700305534,3.8,3.6,0,1320
0.0853658536585,0,0.0238095238095,0,2,9,0,0,0,0,0,0.025641025641,0.025641025641,0,0,0.0204081632653,0,0,2,0,6,2,0,0,0,0,1,0,0,0,0,0,0,7,0,0,0,0,0,1,4,27,yes,Graduate,58,5.2,3.89393939393939,0.613758974949595,3.85,3.9,40,1480
0.0923076923077,0.0153846153846,0.095652173913,0.0173913043478,3,0,0,0,0,0,0.00515463917526,0.0253164556962,0,0,0,0,0,0,1,0,6,1,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,5,40.5,yes,Graduate,8,4.7,3.68181818181818,0.199518067697782,3.45,4.45,120,1320
0.0986842105263,0.0131578947368,0.0361445783133,0.0240963855422,4,4,0,0,0,0,0,0.0147058823529,0,0.0121951219512,0,0,0,0,1,0,4,0,1,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,9,29,no,Graduate,17,5.525,3.66666666666667,0.632280326848358,4.05,3.75,220,1320
0.0821917808219,0,0.0,0,3,5,0,0,0,0,0,0,0,0,0,0,0,0,2,0,7,0,0,0,1,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,10,29,no,Graduate,6,4.875,3.53219696969697,-0.653658882670862,3.64444444444444,3.6,200,1400
0.0935251798561,0,0.0819672131148,0,1,4,0,0.00724637681159,0,0,0,0,0.012987012987,0,0,0,0,1,2,0,3,1,0,0,0,0,0,0,0,0,0,0,0,2,0,1,0,0,1,0,11,26,no,Graduate,46,4.95,3.83333333333333,0.650801678747121,3,3.55,220,1400
0.0940594059406,0.0049504950495,0.0260869565217,0.00869565217391,2,6,0,0.00497512437811,0,0.00497512437811,0,0,0,0,0,0,0,1,1,0,7,0,0,0,0,0,0,0,1,0,0,0,0,2,0,0,0,0,0,0,12,34,no,Graduate,9,4.8,3.5,-1.47596691320824,2.45,3.15,140,1400
0.132911392405,0,0.0,0,3,2,0,0,0,0,0,0.0103092783505,0,0,0,0,0,0,1,0,9,1,1,1,0,0,0,0,0,0,0,0,0,3,1,0,0,0,0,0,13,26,yes,Graduate,20,5.325,3.72395833333333,-0.726350189652548,3.6,4.25,220,1400
0.0555555555556,0,0.0428571428571,0,3,12,0,0,0,0,0,0.021978021978,0,0,0,0.0192307692308,0,0,1,0,6,0,2,0,0,0,5,0,0,0,0,0,0,7,0,0,0,0,0,0,14,26.5,yes,Graduate,23,5.675,3.68181818181818,-0.647485098704611,3.6,3.6,0,1480
0.0818181818182,0.00454545454545,0.0431034482759,0.00862068965517,3,5,0,0.00456621004566,0,0,0,0,0,0,0,0.00934579439252,0,1,3,0,0,5,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,16,27.5,no,Graduate,48,3.975,3.63636363636364,0.772883257458838,3.25,3.95,120,1400
