@relation 'baseline_fv-weka.filters.unsupervised.attribute.Remove-R228,238'

@attribute percentage-of-(PT)-overall numeric
@attribute percentage-of-(TH)-overall numeric
@attribute percentage-of-(QM)-overall numeric
@attribute percentage-of-(MIC)-wine numeric
@attribute number-of-(P1)-grocery numeric
@attribute percentage-of-(ESBR)-wine numeric
@attribute east.asian.time.in.us numeric
@attribute percentage-of-(SBE)-grocery numeric
@attribute percentage-of-(MINEG)-grocery numeric
@attribute percentage-of-(INN)-grocery numeric
@attribute percentage-of-(IR)-grocery numeric
@attribute number-of-(IDN)-overall numeric
@attribute profit.joint numeric
@attribute percentage-of-(RT)-overall numeric
@attribute percentage-of-(MIN)-overall numeric
@attribute number-of-(QM)-overall numeric
@attribute number-of-(MIN)-overall numeric
@attribute percentage-of-(QS)-wine numeric
@attribute number-of-(SF)-overall numeric
@attribute percentage-of-(IS)-wine numeric
@attribute percentage-of-(QM)-grocery numeric
@attribute number-of-(IB)-grocery numeric
@attribute number-of-(RT)-grocery numeric
@attribute percentage-of-(PX)-overall numeric
@attribute number-of-(PP)-grocery numeric
@attribute number-of-(IDP)-wine numeric
@attribute number-of-(GD)-grocery numeric
@attribute percentage-of-(OM)-overall numeric
@attribute percentage-of-(OT)-wine numeric
@attribute percentage-of-(RT)-wine numeric
@attribute percentage-of-(QS)-overall numeric
@attribute percentage-of-(RP)-overall numeric
@attribute percentage-of-(RN)-grocery numeric
@attribute number-of-(IDP)-grocery numeric
@attribute percentage-of-(IDP)-overall numeric
@attribute number-of-(MINEG)-wine numeric
@attribute number-of-(PX)-grocery numeric
@attribute percentage-of-(IS)-grocery numeric
@attribute percentage-of-(IB)-grocery numeric
@attribute percentage-of-(QM)-wine numeric
@attribute cultural_intelligence numeric
@attribute number-of-though-unit numeric
@attribute number-of-(CS)-grocery numeric
@attribute number-of-(GD)-overall numeric
@attribute percentage-of-(MIN)-wine numeric
@attribute percentage-of-(INP)-overall numeric
@attribute number-of-(OS)-grocery numeric
@attribute number-of-(INP)-wine numeric
@attribute number-of-(RN)-wine numeric
@attribute percentage-of-(RT)-grocery numeric
@attribute percentage-of-(MIN)-grocery numeric
@attribute percentage-of-(INP)-grocery numeric
@attribute number-of-(IR)-wine numeric
@attribute number-of-(QR)-overall numeric
@attribute number-of-(IS)-grocery numeric
@attribute number-of-(IDN)-wine numeric
@attribute number-of-(QP)-overall numeric
@attribute extroversion numeric
@attribute number-of-(OM)-grocery numeric
@attribute percentage-of-(IS)-overall numeric
@attribute number-of-(QP)-wine numeric
@attribute number-of-(IB)-wine numeric
@attribute percentage-of-(RN)-overall numeric
@attribute number-of-(IR)-grocery numeric
@attribute percentage-of-(QR)-overall numeric
@attribute number-of-(IB)-overall numeric
@attribute number-of-(QS)-overall numeric
@attribute percentage-of-(PC)-wine numeric
@attribute number-of-(TH)-grocery numeric
@attribute number-of-(MINEG)-overall numeric
@attribute percentage-of-(PM)-wine numeric
@attribute number-of-(PW)-grocery numeric
@attribute number-of-(PM)-grocery numeric
@attribute percentage-of-(GD)-overall numeric
@attribute percentage-of-(PO)-overall numeric
@attribute number-of-(SBE)-overall numeric
@attribute number-of-(PX)-wine numeric
@attribute percentage-of-(PW)-grocery numeric
@attribute number-of-(SF)-grocery numeric
@attribute percentage-of-(RP)-grocery numeric
@attribute number-of-(QR)-wine numeric
@attribute number-of-(ESBR)-wine numeric
@attribute percentage-of-(MU)-overall numeric
@attribute percentage-of-(OM)-wine numeric
@attribute number-of-(PM)-overall numeric
@attribute number-of-(OS)-overall numeric
@attribute percentage-of-(TH)-wine numeric
@attribute number-of-(MIC)-wine numeric
@attribute percentage-of-(QP)-grocery numeric
@attribute IQ numeric
@attribute percentage-of-(PM)-overall numeric
@attribute number-of-(IR)-overall numeric
@attribute number-of-(PO)-wine numeric
@attribute percentage-of-(QB)-grocery numeric
@attribute number-of-(IDP)-overall numeric
@attribute number-of-(IS)-wine numeric
@attribute percentage-of-(PX)-wine numeric
@attribute percentage-of-(PP)-overall numeric
@attribute number-of-(RN)-grocery numeric
@attribute number-of-(PC)-overall numeric
@attribute percentage-of-(TH)-grocery numeric
@attribute percentage-of-(PT)-wine numeric
@attribute percentage-of-(IP)-overall numeric
@attribute number-of-(MINEG)-grocery numeric
@attribute number-of-(IDN)-grocery numeric
@attribute number-of-(OT)-grocery numeric
@attribute percentage-of-(PC)-overall numeric
@attribute percentage-of-(QR)-grocery numeric
@attribute number-of-(RN)-overall numeric
@attribute percentage-of-(CS)-grocery numeric
@attribute percentage-of-(CS)-wine numeric
@attribute percentage-of-(MU)-grocery numeric
@attribute percentage-of-(QB)-wine numeric
@attribute percentage-of-(SF)-overall numeric
@attribute number-of-(PO)-overall numeric
@attribute number-of-(PM)-wine numeric
@attribute number-of-(ESBR)-grocery numeric
@attribute number-of-(SBR)-overall numeric
@attribute percentage-of-(SF)-wine numeric
@attribute number-of-(MU)-wine numeric
@attribute number-of-(PW)-wine numeric
@attribute percentage-of-(P1)-grocery numeric
@attribute number-of-(QP)-grocery numeric
@attribute number-of-(P1)-wine numeric
@attribute percentage-of-(QS)-grocery numeric
@attribute number-of-(OM)-overall numeric
@attribute percentage-of-(ESBR)-overall numeric
@attribute percentage-of-(PC)-grocery numeric
@attribute number-of-(PX)-overall numeric
@attribute percentage-of-(P1)-wine numeric
@attribute percentage-of-(SBE)-overall numeric
@attribute number-of-(OS)-wine numeric
@attribute number-of-(PW)-overall numeric
@attribute openness numeric
@attribute number-of-(IP)-overall numeric
@attribute number-of-(OT)-wine numeric
@attribute number-of-(PO)-grocery numeric
@attribute number-of-(RT)-overall numeric
@attribute mean_age numeric
@attribute number-of-(IP)-wine numeric
@attribute number-of-(INN)-grocery numeric
@attribute number-of-(OT)-overall numeric
@attribute percentage-of-(OS)-overall numeric
@attribute negative_experience {no,yes}
@attribute number-of-(QR)-grocery numeric
@attribute number-of-(QS)-wine numeric
@attribute number-of-(IS)-overall numeric
@attribute percentage-of-(SBR)-grocery numeric
@attribute number-of-(MIN)-wine numeric
@attribute percentage-of-(IP)-wine numeric
@attribute number-of-(PC)-wine numeric
@attribute number-of-(IP)-grocery numeric
@attribute number-of-(INP)-overall numeric
@attribute percentage-of-(MU)-wine numeric
@attribute number-of-(CS)-wine numeric
@attribute number-of-(PT)-overall numeric
@attribute number-of-(P1)-overall numeric
@attribute number-of-though-unit-grocery numeric
@attribute percentage-of-(SBR)-overall numeric
@attribute number-of-(GD)-wine numeric
@attribute number-of-(CS)-overall numeric
@attribute number-of-(MIC)-overall numeric
@attribute percentage-of-(IDN)-grocery numeric
@attribute number-of-(TH)-overall numeric
@attribute percentage-of-(OS)-grocery numeric
@attribute percentage-of-(IDP)-grocery numeric
@attribute percentage-of-(PM)-grocery numeric
@attribute number-of-(INP)-grocery numeric
@attribute number-of-(PC)-grocery numeric
@attribute percentage-of-(PW)-overall numeric
@attribute number-of-(PP)-wine numeric
@attribute number-of-(QB)-wine numeric
@attribute number-of-(INN)-wine numeric
@attribute number-of-(MIN)-grocery numeric
@attribute number-of-(ESBR)-overall numeric
@attribute percentage-of-(IR)-wine numeric
@attribute number-of-(SBR)-grocery numeric
@attribute percentage-of-(OM)-grocery numeric
@attribute percentage-of-(PO)-wine numeric
@attribute percentage-of-(QR)-wine numeric
@attribute percentage-of-(P1)-overall numeric
@attribute percentage-of-(MIC)-grocery numeric
@attribute percentage-of-(PO)-grocery numeric
@attribute percentage-of-(PW)-wine numeric
@attribute percentage-of-(IDN)-wine numeric
@attribute percentage-of-(RP)-wine numeric
@attribute percentage-of-(PP)-grocery numeric
@attribute number-of-(QM)-wine numeric
@attribute percentage-of-(IB)-overall numeric
@attribute percentage-of-(PP)-wine numeric
@attribute number-of-(PT)-grocery numeric
@attribute education {Graduate,Undergraduate}
@attribute number-of-(RP)-wine numeric
@attribute percentage-of-(INN)-overall numeric
@attribute percentage-of-(SBR)-wine numeric
@attribute number-of-(MU)-grocery numeric
@attribute number-of-(TH)-wine numeric
@attribute wine-is-East-Asian {True,False}
@attribute number-of-(RT)-wine numeric
@attribute percentage-of-(RN)-wine numeric
@attribute percentage-of-(MIC)-overall numeric
@attribute number-of-(MU)-overall numeric
@attribute percentage-of-(SBE)-wine numeric
@attribute percentage-of-(QP)-overall numeric
@attribute number-of-(OM)-wine numeric
@attribute percentage-of-(INN)-wine numeric
@attribute percentage-of-(OS)-wine numeric
@attribute percentage-of-(IDN)-overall numeric
@attribute number-of-(RP)-grocery numeric
@attribute percentage-of-(OT)-grocery numeric
@attribute percentage-of-(ESBR)-grocery numeric
@attribute percentage-of-(IDP)-wine numeric
@attribute percentage-of-(IB)-wine numeric
@attribute number-of-(SF)-wine numeric
@attribute percentage-of-(MINEG)-overall numeric
@attribute number-of-(MIC)-grocery numeric
@attribute number-of-though-unit-wine numeric
@attribute percentage-of-(GD)-grocery numeric
@attribute percentage-of-(PT)-grocery numeric
@attribute number-of-(PP)-overall numeric
@attribute number-of-(SBE)-grocery numeric
@attribute percentage-of-(PX)-grocery numeric
@attribute percentage-of-(QP)-wine numeric
@attribute number-of-(PT)-wine numeric
@attribute percentage-of-(MINEG)-wine numeric
@attribute number-of-(QB)-grocery numeric
@attribute percentage-of-(OT)-overall numeric
@attribute number-of-(QM)-grocery numeric
@attribute number-of-(SBE)-wine numeric
@attribute percentage-of-(GD)-wine numeric
@attribute percentage-of-(IR)-overall numeric
@attribute emotional.intelligence numeric
@attribute percentage-of-(IP)-grocery numeric
@attribute percentage-of-(SF)-grocery numeric
@attribute percentage-of-(CS)-overall numeric
@attribute number-of-(RP)-overall numeric
@attribute number-of-(QS)-grocery numeric
@attribute percentage-of-(QB)-overall numeric
@attribute number-of-(QB)-overall numeric
@attribute number-of-(INN)-overall numeric
@attribute number-of-(SBR)-wine numeric
@attribute percentage-of-(INP)-wine numeric

@data
0,0,0.05,0.096,2,0,32,0,0,0.034783,0.008696,2,1480,0,0.25,12,60,0.016,0,0,0.052174,1,0,0,3,0,0,0.025,0,0,0.008333,0.016667,0,0,0,0,0,0,0.008696,0.048,5.375,240,0,0,0.264,0,3,0,3,0,0.234783,0,1,0,0,1,8,4.35,4,0,4,0,0.0125,1,0,1,2,0.016,0,0,0.016,0,3,0,0.029167,0,0,0,0,0.008696,0,0,0.004167,0.016,5,3,0,12,0.034783,0.827053,0.020833,2,4,0,0,0,0,0.016667,0,4,0,0,0.066667,0,1,0,0.016667,0,3,0,0,0.008696,0,0,7,2,0,68,0,0,0,0.017391,4,2,0,6,0,0.017391,0,0.016,0,0,0,4.75,16,0,3,0,34.5,8,4,0,0.0125,no,0,2,0,0.26087,33,0.064,2,8,0,0,0,0,4,115,0.283333,0,0,23,0.008696,0,0.026087,0,0.026087,0,2,0,1,0,1,27,0,0.008,30,0.034783,0.032,0,0.016667,0.095652,0.026087,0,0.008,0.024,0.026087,6,0.004167,0.008,0,Graduate,3,0.020833,0.304,1,0,True,0,0.024,0.095833,1,0,0.033333,2,0.008,0,0.008333,1,0,0,0,0,0,0,11,125,0,0,4,0,0,0.032,0,0,0,0,6,0,0,0.008333,4.469697,0.069565,0,0,4,0,0,0,5,38,0
0,0,0.05102,0.074766,0,0,40,0,0,0,0,1,1320,0,0.086735,10,17,0,0,0,0.05618,1,0,0,3,0,0,0.035714,0,0,0.010204,0.02551,0.033708,0,0,0,0,0,0.011236,0.046729,5.225,196,1,0,0.102804,0.020408,1,3,3,0,0.067416,0.011236,0,0,0,1,12,3.8,3,0,5,0,0.030612,0,0,1,2,0.009346,0,0,0.009346,0,1,0,0,0,0,0,0,0.044944,0,0,0.005102,0.037383,2,4,0,8,0.078652,0.87027,0.010204,0,0,0,0,0,0,0.030612,3,3,0,0,0.158163,0,0,0,0.015306,0,6,0.011236,0.037383,0,0,0,0,1,0,56,0,1,0,0,7,1,0.022472,7,0,0.022472,0,0.009346,0,3,0,3.6,31,0,0,0,28,15,0,0,0.020408,no,0,0,0,0.235955,11,0.140187,1,16,4,0.009346,4,0,1,89,0.285714,0,5,20,0,0,0.011236,0,0.011236,1,2,0,3,0,2,6,0,0,21,0.033708,0,0,0.005102,0.134831,0,0,0.009346,0.009346,0.033708,5,0.005102,0.028037,0,Graduate,1,0.010204,0.327103,0,0,False,0,0.028037,0.102041,1,0,0.061224,4,0.018692,0.028037,0.005102,4,0,0,0,0,0,0,12,107,0,0,6,0,0,0.046729,0,0,0,0,5,0,0,0,4,0.179775,0,0.02551,5,2,0,0,2,35,0.028037
0,0,0.073171,0.15,0,0,58,0,0,0,0.166667,0,1480,0,0.170732,6,14,0,0,0,0.02381,0,0,0,1,0,0,0.02439,0.15,0,0,0.036585,0.02381,0,0,0,0,0,0,0.125,5.2,82,0,0,0.125,0,0,0,0,0,0.214286,0,2,5,0,0,4,3.85,1,0,2,0,0.012195,7,0.060976,0,0,0.05,0,0,0,0,0,0,0.02439,0,0,0,0,0.02381,3,0,0,0.025,0,3,0,6,0.047619,0.613759,0,9,0,0,0,0,0,0.036585,1,2,0,0,0.085366,0,0,6,0.02439,0.047619,1,0,0,0,0,0,2,0,0,2,0,0,0,0,2,0,0,2,0,0,0,0,0,3,0,3.9,7,6,2,0,27,1,0,12,0.036585,yes,2,0,0,0.047619,5,0.025,2,6,0,0,0,0,0,42,0.02439,0,0,7,0,0,0,0,0,0,0,0,2,0,0,9,0,0.05,2,0.02381,0,0.075,0,0.02381,0.047619,0,0,0.05,0.02381,5,0,0.05,0,Graduate,2,0,0,0,0,False,0,0,0.085366,0,0,0.04878,1,0,0.075,0,1,0.142857,0,0,0,0,0,1,40,0,0,3,0,0,0.05,0,0,0,0.146341,1,0,0,0.109756,3.893939,0.142857,0,0,3,0,0,0,0,0,0
0,0,0.05641,0.025,0,0,8,0,0,0.008696,0,1,1320,0,0.128205,11,25,0.025,3,0,0.026087,2,0,0,3,0,0,0.087179,0.0375,0,0.025641,0.015385,0.043478,1,0.005128,0,0,0,0.017391,0.1,4.7,195,0,0,0.15,0,2,0,6,0,0.113043,0,0,0,0,1,7,3.45,11,0,1,1,0.05641,0,0,3,5,0.025,0,0,0,0,1,0,0.015385,0,0,0,2,0.017391,0,0,0,0.075,1,3,0,2,0.052174,0.199518,0.005128,0,0,0,1,0,0,0.030769,5,5,0,0,0.092308,0,0,5,0.025641,0,11,0,0.0125,0,0,0.015385,3,0,0,52,0.0125,0,0,0,6,0,0.026087,17,0,0.026087,0,0,0,1,0,4.45,18,3,3,0,40.5,9,1,8,0.015385,yes,0,2,0,0.278261,12,0.1125,2,9,0,0,1,0,0,115,0.266667,0,1,10,0,0,0.017391,0.008696,0.008696,0,3,0,3,0,0,13,0,0,32,0.095652,0,0,0,0.069565,0.026087,0,0.0125,0.0125,0.026087,8,0.015385,0.0375,0,Graduate,1,0.005128,0.25,0,0,True,0,0.075,0.051282,0,0,0.035897,6,0,0.0125,0.005128,2,0.043478,0,0,0.0125,1,0,8,80,0,0,6,0,0,0.0125,0,0,0,0.041026,3,0,0,0,3.681818,0.078261,0.017391,0.005128,3,3,0,0,1,20,0
0,0,0.085526,0.014493,3,0,17,0,0.012048,0,0.012048,0,1320,0.006579,0.164474,13,25,0,2,0,0.072289,0,1,0,1,1,0,0.032895,0,0,0,0.032895,0.012048,1,0.013158,0,0,0,0,0.101449,5.525,152,0,0,0.202899,0,6,0,1,0.012048,0.13253,0,3,0,0,0,5,4.05,3,0,4,0,0.013158,1,0,0,0,0.028986,0,1,0,0,2,0,0.026316,0,0,0,2,0.012048,0,0,0,0.028986,2,12,0,1,0.012048,0.63228,0.013158,4,0,0,2,0,0,0.006579,1,3,0,0,0.098684,1,0,1,0.019737,0,2,0,0,0,0,0.013158,4,0,0,35,0,0,0,0.036145,1,4,0,5,0,0.012048,0,0.057971,0,6,0,3.75,15,0,4,1,29,6,0,1,0.078947,no,0,0,0,0.253012,14,0.086957,2,9,0,0,0,0,7,83,0.230263,0,0,7,0,0,0.072289,0.012048,0.024096,0,1,0,0,0,0,11,0,0.043478,21,0.036145,0,0,0.046053,0.072289,0.048193,0,0,0.057971,0.012048,7,0,0,0,Graduate,4,0,0.202899,0,0,True,0,0.014493,0.046053,0,0,0.032895,2,0,0.086957,0,1,0.012048,0,0.014493,0,0,0.006579,6,69,0,0,1,0,0,0.057971,0,0,0,0.006579,6,0,0,0.026316,3.666667,0.108434,0.024096,0,5,0,0,0,0,14,0
0,0,0.068493,0.041096,2,0,6,0,0,0,0.027397,1,1400,0,0.068493,10,10,0,0,0,0.09589,1,0,0,0,0,0,0.041096,0,0,0.041096,0.041096,0,0,0,1,0,0,0.013699,0.041096,4.875,146,0,0,0.082192,0.006849,2,0,0,0,0.054795,0.013699,3,1,0,1,3,3.644444,0,0,2,1,0,2,0.006849,2,6,0.013699,0,1,0.013699,0,1,0,0.020548,0,0,0,0,0.068493,1,0,0,0.082192,2,8,0,3,0.013699,-0.653659,0.013699,5,3,0,0,0,0,0.013699,0,3,0,0,0.082192,0,0,0,0.020548,0,0,0,0,0,0,0,3,1,0,48,0,0,0,0.027397,1,2,0.082192,6,0,0.027397,0,0.027397,0,6,0,3.6,12,0,0,0,29,7,0,0,0.054795,no,0,0,0,0.342466,6,0.09589,1,5,1,0,0,0,4,73,0.328767,0,0,12,0,0,0.027397,0,0.013699,1,2,0,2,0,0,4,0,0.041096,25,0,0.041096,0.013699,0.027397,0.123288,0,0,0.013699,0.013699,0,3,0.013699,0.027397,0,Graduate,1,0,0.315068,0,0,False,0,0,0.082192,0,0,0.020548,6,0,0.082192,0.006849,5,0,0,0,0.013699,0,0.006849,9,73,0,0,2,0,0,0.027397,0,0.013699,0,0,7,0,0,0.034247,3.532197,0.068493,0,0,6,6,0,0,0,23,0
0,0,0.035971,0.025641,1,0,46,0,0,0.016393,0.04918,1,1400,0,0.136691,5,19,0.051282,0,0,0.04918,0,0,0,4,0,0,0.079137,0,0,0.028777,0.028777,0,0,0,0,0,0,0,0.025641,4.95,139,0,0,0.128205,0,0,0,6,0,0.147541,0,1,0,0,0,8,3,5,0,1,6,0.043165,3,0,6,4,0,0,0,0,0,1,0,0.007194,0,0,0,0,0.065574,0,0,0,0.076923,1,2,0,2,0.114754,0.650802,0.007194,4,0,0,0,0,0,0.05036,0,0,0,0,0.093525,0,1,0,0,0,6,0,0,0,0,0,1,0,0,41,0,0,0,0.016393,7,0,0,11,0,0,0,0,0,2,0,3.55,13,0,1,0,26,9,1,0,0.014388,no,0,4,0,0.245902,10,0.115385,0,4,0,0,0,0,1,61,0.294964,0,0,4,0.016393,0,0,0,0.016393,0,0,0,3,0,0,9,0,0.012821,15,0.081967,0,0,0.007194,0.032787,0.016393,0,0,0,0.065574,2,0.043165,0.038462,0,Graduate,0,0.007194,0.333333,0,0,True,0,0.076923,0.028777,0,0,0.057554,6,0,0.025641,0.007194,4,0,0,0,0.076923,0,0,2,78,0,0,7,0,0,0.012821,0,0,0,0,3,0,0,0.028777,3.833333,0.065574,0,0,4,0,0,0,1,26,0
0,0,0.079208,0.114943,2,0,9,0,0.008696,0.017391,0.026087,0,1400,0,0.143564,16,29,0.045977,1,0,0.052174,0,0,0.014851,4,0,0,0.034653,0.011494,0,0.029703,0.009901,0,1,0.00495,0,0,0,0,0.114943,4.8,202,0,0,0.126437,0.00495,11,0,1,0,0.156522,0.008696,3,5,0,0,15,2.45,3,0,9,0,0.00495,3,0.024752,0,6,0,0,1,0.022989,0,2,0,0.009901,0,3,0,1,0,3,0,0,0.045977,4,15,0,10,0.052174,-1.475967,0.019802,6,1,0,1,0,0.034483,0.034653,0,1,0,0,0.094059,1,0,0,0.00495,0.017391,1,0,0,0,0,0.00495,2,2,0,29,0,0,0,0.017391,6,0,0.017391,7,0,0.008696,3,0,0,4,0,3.15,19,1,1,0,34,7,2,1,0.074257,no,2,4,0,0.173913,11,0.08046,0,12,1,0,0,0,2,115,0.143564,0,0,26,0,0,0.095652,0.008696,0.017391,1,1,0,3,0,0,18,0,0.034483,20,0.026087,0.011494,0.034483,0.009901,0.13913,0.008696,0,0,0.022989,0.034783,10,0,0.034483,0,Graduate,2,0.009901,0.103448,0,0,True,0,0.011494,0.128713,0,0,0.074257,4,0,0.045977,0,0,0,0,0,0,0,0.00495,16,87,0,0,7,0,0,0.103448,0,0,0,0.00495,6,0,0,0.029703,3.5,0.104348,0.008696,0,2,2,0,0,2,9,0
0.006329,0,0.056962,0.05102,1,0,20,0,0,0,0,4,1400,0,0.094937,9,15,0,0,0,0.083333,0,0,0,1,3,0,0.006329,0,0,0.006329,0.031646,0,0,0.018987,1,0,0,0,0.040816,5.325,158,0,0,0.081633,0,4,0,0,0,0.116667,0,2,0,0,2,10,3.6,0,0,5,0,0,0,0,0,1,0.020408,0,1,0.020408,0,1,0,0.018987,0,0,0,0,0.05,0,0,0.006329,0.010204,3,7,0,5,0.083333,-0.72635,0.018987,2,2,0,3,0,0,0.025316,0,3,0,0.010204,0.132911,0,2,0,0.018987,0,0,0,0,0.016667,0.010204,0,3,2,0,51,0,0,0,0.016667,5,3,0.016667,1,0,0.016667,0,0.030612,0,3,0,4.25,21,0,1,0,26,12,0,0,0.044304,yes,0,0,0,0.25,8,0.122449,2,9,0,0,0,1,4,60,0.322785,0,0,8,0.033333,0,0.066667,0,0.016667,0,1,0,3,1,0,7,0,0.020408,15,0,0.020408,0,0.025316,0.05,0.016667,0,0.020408,0.020408,0.016667,4,0,0.030612,0,Graduate,2,0,0.367347,1,0,False,0,0,0.050633,1,0,0.063291,1,0,0.030612,0.025316,3,0,0,0.030612,0,0,0.006329,3,98,0,0,4,0,0,0.05102,1,0.010204,0,0,5,0,0,0.012658,3.723958,0.15,0,0,5,1,0.006329,1,0,36,0
0.006173,0,0.08642,0,2,0,23,0,0,0.028571,0.1,1,1480,0,0.234568,14,38,0.032609,0,0.01087,0.085714,0,0,0,2,0,0,0.061728,0.032609,0,0.030864,0.037037,0.014286,0,0,0,0,0,0,0.086957,5.675,162,0,0,0.293478,0,0,0,2,0,0.157143,0,5,9,0,1,11,3.6,3,0.006173,7,0,0.018519,7,0.055556,0,5,0.01087,0,0,0,0,0,0,0.018519,0,0,0,0,0.057143,5,0,0,0.076087,0,0,0,0,0.057143,-0.647485,0,12,1,0,0,1,0,0.012346,1,3,0,0.01087,0.055556,0,0,0,0.018519,0.057143,3,0,0,0,0,0,3,0,0,20,0,0,0,0.028571,4,0,0.028571,10,0,0.028571,0,0,0,0,0,3.6,9,3,2,0,26.5,5,2,3,0,yes,4,3,1,0.142857,27,0.054348,1,4,0,0,0,1,2,70,0.123457,0,0,4,0,0,0,0,0,0,2,0,0,0,3,11,0,0.054348,10,0.042857,0.01087,0.054348,0.012346,0.057143,0.028571,0,0.01087,0.021739,0.028571,8,0,0,0,Graduate,2,0.030864,0.108696,0,0,False,0,0.021739,0.024691,0,0,0.067901,7,0.032609,0,0.006173,4,0,0,0,0,0,0,4,92,0,0,2,0,0,0.076087,1,0,0,0.018519,6,0,0,0.074074,3.681818,0.057143,0,0,6,2,0,0,5,10,0
