"","mean.age","negative_experience","id","education","east.asian.time.in.us","profit.diff","joint.profit","cultural_intelligence","emotional.intelligence","iq","extroversion","openness"
"1",34.5,"no",2,"Graduate",32,320,1480,5.375,4.46969696969697,0.827053212541758,4.35,4.75
"2",28,"no",3,"Graduate",40,0,1320,5.225,4,0.870269700305534,3.8,3.6
"3",27,"yes",4,"Graduate",58,40,1480,5.2,3.89393939393939,0.613758974949595,3.85,3.9
"4",40.5,"yes",5,"Graduate",8,120,1320,4.7,3.68181818181818,0.199518067697782,3.45,4.45
"5",29,"no",9,"Graduate",17,220,1320,5.525,3.66666666666667,0.632280326848358,4.05,3.75
"6",29,"no",10,"Graduate",6,200,1400,4.875,3.53219696969697,-0.653658882670862,3.64444444444444,3.6
"7",26,"no",11,"Graduate",46,220,1400,4.95,3.83333333333333,0.650801678747121,3,3.55
"8",34,"no",12,"Graduate",9,140,1400,4.8,3.5,-1.47596691320824,2.45,3.15
"9",26,"yes",13,"Graduate",20,220,1400,5.325,3.72395833333333,-0.726350189652548,3.6,4.25
"10",26.5,"yes",14,"Graduate",23,0,1480,5.675,3.68181818181818,-0.647485098704611,3.6,3.6
"11",27.5,"no",16,"Graduate",48,120,1400,3.975,3.63636363636364,0.772883257458838,3.25,3.95
"12",27,"no",18,"Graduate",23,0,1240,5.35,4.3030303030303,-0.757219109483816,3.9,4.15
"13",24,"yes",19,"Graduate",10,100,1320,5.275,3.63636363636364,0.99852506298351,3.6,4.35
"14",29.5,"yes",20,"Graduate",60,0,1240,5.075,4.3030303030303,-0.111162612741079,3.55,4
"15",34.5,"yes",21,"Undergraduate",NA,20,1400,4.82368421052631,3.92424242424242,0.21186563563029,3.75,4.15
"16",29,"no",22,"Graduate",32,40,1480,4.575,3.87878787878788,-0.305935498434477,3.7,3.45
"17",28,"no",24,"Graduate",11,240,1320,5.07894736842105,3.48484848484848,0.431333657188705,2.25,3.8
"18",30,"yes",25,"Graduate",12,100,1320,4.85,3.39393939393939,-0.848431768364261,2.4,3.75
"19",23.5,"no",26,"Undergraduate",3.5,0,1160,5.425,3.46638257575758,-0.848431768364261,3.3,3.4
"20",26.5,"no",27,"Graduate",11,140,1480,5.59166666666667,3.74242424242424,-0.074119908943553,2.55,3.4
"21",28.5,"no",28,"Graduate",48,100,1260,5.625,3.81818181818182,-1.16528623276938,2.9,3.61666666666667
"22",28,"no",29,"Graduate",11,120,1240,5.275,3.83333333333333,0.431333657188705,2.65,4.1
"23",25.5,"no",32,"Graduate",40,120,1160,4.75,3.31818181818182,-0.506882168094132,2.4,2.95
"24",26.5,"no",33,"Graduate",50,20,1240,5.05,3.68230694037146,0.663149246679628,3.4,3.5
"25",26.5,"no",34,"Graduate",61,200,1480,5.525,4.24242424242424,-0.0926412608423158,3.95,4.65
"26",23,"yes",35,"Graduate",12,0,1160,4.875,3.88920454545455,0.327773430375752,2.8,4.15
"27",23.5,"no",36,"Graduate",1,0,1260,5.025,4.1969696969697,-0.738697757585054,2.75,3.6
"28",27.5,"no",37,"Graduate",60,20,1400,5.55,4.1969696969697,0.541067667967913,4.25,4.2
"29",24,"no",38,"Graduate",49,320,1340,4.825,3.95454545454546,0.443681225121215,3.25,3.65
"30",29,"no",39,"Graduate",48,220,1400,4.45,3.01515151515151,0.095957840884828,3,3.2
"31",21,"no",40,"Undergraduate",NA,20,1480,5.225,3.828125,1.50397862911577,3.85,4.25
"32",31.5,"no",41,"Graduate",61,220,1240,5.35,4.01515151515151,-0.46505978094372,3.15,3.95
"33",29,"no",43,"Graduate",60,20,1240,5.125,3.78787878787879,0.017092749936892,3.8,3.7
"34",26,"no",44,"Graduate",48,360,1400,5.875,3.79971590909091,1.03417366616766,3.8,4.1
"35",21,"yes",45,"Undergraduate",44,120,1480,4.95,4.22727272727272,0.607585190983342,2.63888888888889,4.15
"36",21,"no",46,"Undergraduate",48,0,1320,4.8,3.51515151515151,0.857922132373028,2.45,3.35
"37",20.5,"no",48,"Undergraduate",46,120,1240,5.425,4.03030303030303,-0.36627923748365,3.3,4.2
"38",25.5,"no",49,"Graduate",NA,20,1480,5.2,3.96969696969697,0.559589019866674,2.65,3.45
